title	authors	year	volume	issue	pages	abstract	pubmed	lab	people	tags	url
Detection, Characterization, and Inhibition of FGFR-TACC Fusions in IDH Wild-type Glioma	Di Stefano;Fucci A;Frattini V;Labussiere M;Mokhtari K;Zoppoli P;Marie Y;Bruno A;Boisselier B;Giry M;Savatovsky J;Touat M;Belaid H;Kamoun A;Idbaih A;Houillier C;Luo FR;Soria JC;Tabernero J;Eoli M;Paterra R;Yip S;Petrecca K;Chan JA;Finocchiaro G;Lasorella A;Sanson M;Iavarone A	2015						anna-lasorella	anna-lasorella	Article	
Pegasus: a comprehensive annotation and prediction tool for detection of driver gene fusions in cancer	Abate F;Zairis S;Ficarra E;Acquaviva A;Wiggins CH;Frattini V;Lasorella A;Iavarone A;Inghirami G;Rabadan R	2014						anna-lasorella	anna-lasorella	Article	
Myc and differentiation: going against the current	Iavarone A;Lasorella A	2014	15	4	324-5			anna-lasorella	anna-lasorella	Article	
The ID proteins: master regulators of cancer stem cells and tumour aggressiveness	Lasorella A;Benezra R;Iavarone A	2014	14	2	77-91			anna-lasorella	anna-lasorella	Article	
RHPN2 drives mesenchymal transformation in malignant glioma by triggering RhoA activation	Danussi C;Akavia UD;Niola F;Jovic A;Lasorella A;Pe'er D;Iavarone A	2013	73	16	5140-50			anna-lasorella	anna-lasorella	Article	
Mesenchymal high-grade glioma is maintained by the ID-RAP1 axis	Niola F;Zhao X;Singh D;Sullivan R;Castano A;Verrico A;Zoppoli P;Friedmann-Morvinski D;Sulman E;Barrett L;Zhuang Y;Verma I;Benezra R;Aldape K;Iavarone A;Lasorella A	2013	123	1	405-17			anna-lasorella	anna-lasorella	Article	
Id proteins synchronize stemness and anchorage to the niche of neural stem cells	Niola F;Zhao X;Singh D;Castano A;Sullivan R;Lauria M;Nam HS;Zhuang Y;Benezra R;Di Bernardo;Iavarone A;Lasorella A	2012						anna-lasorella	anna-lasorella	Article	
Transforming fusions of FGFR and TACC genes in human glioblastoma	Singh D;Chan JM;Zoppoli P;Niola F;Sullivan R;Castano A;Liu EM;Reichel J;Porrati P;Pellegatta S;Qiu K;Gao Z;Ceccarelli M;Riccardi R;Brat DJ;Guha A;Aldape K;Golfinos JG;Zagzag D;Mikkelsen T;Finocchiaro G;Lasorella A;Rabadan R;Iavarone A	2012						anna-lasorella	anna-lasorella	Article	
E protein transcription factors are required for the development of CD4(+) lineage T cells	Jones‐Mason ME;Zhao X;Kappes D;Lasorella A;Iavarone A;Zhuang Y	2012						anna-lasorella	anna-lasorella	Article	
Id2 promotes tumor cell migration and invasion through transcriptional repression of Semaphorin 3F	Coma S;Amin DN;Shimizu A;Lasorella A;Iavarone A;Klagsbrun M	2010						anna-lasorella	anna-lasorella	Article	
The Huwe1 ubiquitin ligase is essential to synchronize neuronal and glial differentiation in the developing cerebellum	D'Arca D;Zhao X;Xu W;Ramirez‐Martinez N;Iavarone A;Lasorella A	2010						anna-lasorella	anna-lasorella	Article	
L, Doetsch F, Colman H, Lasorella A, Aldape K, Califano A, Iavarone A	Carro MS;Lim WK;Alvarez MJ;Bollo RJ;Zhao X;Snyder EY;Sulman EP;Anne S	2010						anna-lasorella	anna-lasorella	Article	
S, Ludwig T, Guillemot F, Aldape K, Califano A, Iavarone A, and Lasorella A	Zhao X;D'Arca D;Lim WK;Brahmachary M;Carro M	2009						anna-lasorella	anna-lasorella	Article	
The HECT‐domain ubiquitin ligase Huwe1 controls neural differentiation and proliferation by destabilizing the N‐Myconcoprotein	Zhao X;Heng J;Guardavaccaro D;Jiang R;Pagano M;Guillemot F;Iavarone A;Lasorella A	2008						anna-lasorella	anna-lasorella	Article	
Control of chromosome stability by the beta‐TrCP‐REST‐Mad2 axis	Guardavaccaro D;Frescas D;Dorrello NV;Peschiaroli A;Multani AS;Cardozo T;Lasorella A;Iavarone A;Chang S;Hernando E;Pagano M	2008						anna-lasorella	anna-lasorella	Article	
Degradation of Id2 by the Anaphase Promoting Complex couples cell cycle exit and axonal growth	Lasorella A;Stegmüller J;Guardavaccaro D;Liu G;Carro MS;Rothschild G;de la;Pagano M;Bonni A;Iavarone A	2006						anna-lasorella	anna-lasorella	Article	
E proteins and Id2 converge on p57Kip2 to regulate cell cycle in neural cells	Rothschild G;Zhao X;Iavarone A;Lasorella A	2006						anna-lasorella	anna-lasorella	Article	
Id2 mediates tumor initiation, proliferation and angiogenesis in Rb mutant mice	Lasorella A;Rothschild G;Yokota Y;Russell RG;Iavarone A	2005						anna-lasorella	anna-lasorella	Article	
Retinoblastoma promotes definitive erythropoiesis by repressing Id2 in fetal liver macrophages	Iavarone A;King ER;Xu‐Ming D;Leone G;Stanley ER;Lasorella A	2004						anna-lasorella	anna-lasorella	Article	
Id2 is a target of the retinoblastoma protein and mediates signalling by Myc oncoproteins	Lasorella A;Noseda M;Beyna M;Iavarone A	2000						anna-lasorella	anna-lasorella	Article	
The combination of neoantigen quality and T lymphocyte infiltrates identifies glioblastomas with the longest survival	Zhang J;Caruso FP;Sa JK;Justesen S;Nam DH;Sims P;Ceccarelli M;Lasorella A;Iavarone A	2019						antonio-iavarone	antonio-iavarone	Article	
The molecular landscape of glioma in patients with Neurofibromatosis 1	D'Angelo F;Ceccarelli M;Tala A;Garofano L;Zhang J;Frattini V;Caruso FP;Lewis G;Alfaro KD;Bauchet L;Berzero G;Cachia D;Cangiano M;Capelle L;de Groot;DiMeco F;Ducray F;Farah W;Finocchiaro G;Goutagny S;Kamiya-Matsuoka C;Lavarino C;Loiseau H;Lorgis V;Marras CE;McCutcheon I;Nam DH;Ronchi S;Saletti V;Seizeur R;Slopis J;Suñol M;Vandenbos F;Varlet P;Vidaud D;Watts C;Tabar V;Reuss DE;Kim SK;Meyronet D;Mokhtari K;Salvador H;Bhat KP;Eoli M;Sanson M;Lasorella A;Iavarone A	2019	25	1	176-187			antonio-iavarone	antonio-iavarone	Article	
Pharmacogenomic landscape of patient-derived tumor cells informs precision oncology therapy	Lee JK;Liu Z;Sa JK;Shin S;Wang J;Bordyuh M;Cho HJ;Elliott O;Chu T;Choi SW;Rosenbloom DIS;Lee IH;Shin YJ;Kang HJ;Kim D;Kim SY;Sim MH;Kim J;Lee T;Seo YJ;Shin H;Lee M;Kim SH;Kwon YJ;Oh JW;Song M;Kim M;Kong DS;Choi JW;Seol HJ;Lee JI;Kim ST;Park JO;Kim KM;Song SY;Lee JW;Kim HC;Lee JE;Choi MG;Seo SW;Shim YM;Zo JI;Jeong BC;Yoon Y;Ryu GH;Kim NKD;Bae JS;Park WY;Lee J;Verhaak RGW;Iavarone A;Lee J;Rabadan R;Nam DH	2018	50	10	1399-1411			antonio-iavarone	antonio-iavarone	Article	
Single-cell transcriptome analysis of lineage diversity in high-grade glioma	Yuan J;Levitin HM;Frattini V;Bush EC;Boyett DM;Samanamud J;Ceccarelli M;Dovas A;Zanazzi G;Canoll P;Bruce JN;Lasorella A;Iavarone A;Sims PA	2018						antonio-iavarone	antonio-iavarone	Article	
A recurrent point mutation in PRKCA is a hallmark of chordoid gliomas	Rosenberg S;Simeonova I;Bielle F;Verreault M;Bance B;Le Roux;Daniau M;Nadaradjane A;Gleize V;Paris S;Marie Y;Giry M;Polivka M;Figarella-Branger D;Aubriot-Lorton MH;Villa C;Vasiljevic A;Lechapt-Zalcman E;Kalamarides M;Sharif A;Mokhtari K;Pagnotta SM;Iavarone A;Lasorella A;Huillard E;Sanson M	2018						antonio-iavarone	antonio-iavarone	Article	
An anatomic transcriptional atlas of human glioblastoma	Puchalski RB;Shah N;Miller J;Dalley R;Nomura SR;Yoon JG;Smith KA;Lankerovich M;Bertagnolli D;Bickley K;Boe AF;Brouner K;Butler S;Caldejon S;Chapin M;Datta S;Dee N;Desta T;Dolbeare T;Dotson N;Ebbert A;Feng D;Feng X;Fisher M;Gee G;Goldy J;Gourley L;Gregor BW;Gu G;Hejazinia N;Hohmann J;Hothi P;Howard R;Joines K;Kriedberg A;Kuan L;Lau C;Lee F;Lee H;Lemon T;Long F;Mastan N;Mott E;Murthy C;Ngo K;Olson E;Reding M;Riley Z;Rosen D;Sandman D;Shapovalova N;Slaughterbeck CR;Sodt A;Stockdale G;Szafer A;Wakeman W;Wohnoutka PE;White SJ;Marsh D;Rostomily RC;Ng L;Dang C;Jones A;Keogh B;Gittleman HR;Barnholtz-Sloan JS;Cimino PJ;Uppin MS;Keene CD;Farrokhi FR;Lathia JD;Berens ME;Iavarone A;Bernard A;Lein E;Phillips JW;Rostad SW;Cobbs C;Hawrylycz MJ;Foltz GD	2018	360	6389	660-663			antonio-iavarone	antonio-iavarone	Article	
Cross-Cohort Analysis Identifies a TEAD4-MYCN Positive Feedback Loop as the Core Regulatory Element of High-Risk Neuroblastoma	Rajbhandari P;Lopez G;Capdevila C;Salvatori B;Yu J;Rodriguez-Barrueco R;Martinez D;Yarmarkovich M;Weichert-Leahey N;Abraham BJ;Alvarez MJ;Iyer A;Harenza JL;Oldridge D;De Preter;Koster J;Asgharzadeh S;Seeger RC;Wei JS;Khan J;Vandesompele J;Mestdagh P;Versteeg R;Look AT;Young RA;Iavarone A;Lasorella A;Silva JM;Maris JM;Califano A	2018	8	5	582-599			antonio-iavarone	antonio-iavarone	Article	
A metabolic function of FGFR3-TACC3 gene fusions in cancer	Frattini V;Pagnotta SM;Tala A;Fan JJ;Russo MV;Lee SB;Garofano L;Zhang J;Shi P;Lewis G;Sanson H;Frederick V;Castano AM;Cerulo L;Rolland DCM;Mall R;Mokhtari K;Elenitoba-Johnson KSJ;Sanson M;Huang X;Ceccarelli M;Lasorella A;Iavarone A	2018	553	7687	222-227			antonio-iavarone	antonio-iavarone	Article	
Spatiotemporal genomic architecture informs precision oncology in glioblastoma	Lee JK;Wang J;Sa JK;Ladewig E;Lee HO;Lee IH;Kang HJ;Rosenbloom DS;Camara PG;Liu Z;van Nieuwenhuizen;Jung SW;Choi SW;Kim J;Chen A;Kim KT;Shin S;Seo YJ;Oh JM;Shin YJ;Park CK;Kong DS;Seol HJ;Blumberg A;Lee JI;Iavarone A;Park WY;Rabadan R;Nam DH	2017	49	4	594-599			antonio-iavarone	antonio-iavarone	Article	
FGFR-TACC gene fusions in human glioma	Lasorella A;Sanson M;Iavarone A	2017	19	4	475-483			antonio-iavarone	antonio-iavarone	Article	
Clonal evolution of glioblastoma under therapy	Wang J;Cazzato E;Ladewig E;Frattini V;Rosenbloom DI;Zairis S;Abate F;Liu Z;Elliott O;Shin YJ;Lee JK;Lee IH;Park WY;Eoli M;Blumberg AJ;Lasorella A;Nam DH;Finocchiaro G;Iavarone A;Rabadan R	2016	48	7	768-76			antonio-iavarone	antonio-iavarone	Article	
An ID2-dependent mechanism for VHL inactivation in cancer	Lee SB;Frattini V;Bansal M;Castano AM;Sherman D;Hutchinson K;Bruce JN;Califano A;Liu G;Cardozo T;Iavarone A;Lasorella A	2016	529	7585	172-7			antonio-iavarone	antonio-iavarone	Article	
Detection, Characterization, and Inhibition of FGFR-TACC Fusions in IDH Wild-type Glioma	Di Stefano;Fucci A;Frattini V;Labussiere M;Mokhtari K;Zoppoli P;Marie Y;Bruno A;Boisselier B;Giry M;Savatovsky J;Touat M;Belaid H;Kamoun A;Idbaih A;Houillier C;Luo FR;Soria JC;Tabernero J;Eoli M;Paterra R;Yip S;Petrecca K;Chan JA;Finocchiaro G;Lasorella A;Sanson M;Iavarone A	2015						antonio-iavarone	antonio-iavarone	Article	
Myc and differentiation: going against the current	Iavarone A;Lasorella A	2014	15	4	324-5			antonio-iavarone	antonio-iavarone	Article	
The ID proteins: master regulators of cancer stem cells and tumour aggressiveness	Lasorella A;Benezra R;Iavarone A	2014	14	2	77-91			antonio-iavarone	antonio-iavarone	Article	
The integrated landscape of driver genomic alterations in glioblastoma	Frattini V;Trifonov V;Chan JM;Castano A;Lia M;Abate F;Keir ST;Ji AX;Zoppoli P;Niola F;Danussi C;Dolgalev I;Porrati P;Pellegatta S;Heguy A;Gupta G;Pisapia DJ;Canoll P;Bruce JN;McLendon RE;Yan H;Aldape K;Finocchiaro G;Mikkelsen T;Priv GG;Bigner DD;Lasorella A;Rabadan R;Iavarone A	2013	45	10	1141-9			antonio-iavarone	antonio-iavarone	Article	
